,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,CentralAir_Y,Foundation,BsmtQual,ExterQual,ExterCond,BsmtQual,ExterQual,ExterCond,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageQual,GarageCond,PoolQC,PavedDrive,BsmtFinType2,BsmtFinType1,BsmtExposure,BsmtCond,Functional,FireplaceQu,GarageType,GarageFinish,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,Alley_Pave,YearBuilt,YearRemodAdd,GarageYrBlt,DateBuilt,GdPrv,GdWo,MnPrv,MnWw,Gar2,Othr,Shed,TenC,COD,CWD,Con,ConLD,ConLI,ConLw,New,Oth,WD,Abnorml,AdjLand,Alloca,Family,Normal,Partial,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,EnclosedPorch,ScreenPorch,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,LandSlope,BsmtFullBath,FullBath,LowQualFinSF,GrLivArea,BsmtHalfBath,AsbShng,AsphShn,BrkComm,BrkFace,CBlock,CemntBd,HdBoard,ImStucc,MetalSd,Plywood,Stone,Stucco,VinylSd,Wd Sdng,WdShing,ClyTile,CompShg,Membran,Metal,Roll,Tar&Grv,WdShake,WdShngl,BrkCmn,BrkFace,None,Stone,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,Fireplaces,HalfBath,BedroomAbvGr,TotRmsAbvGrd,KitchenAbvGr,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GarageArea,GarageCars,OpenPorchSF,WoodDeckSF
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,PConc,4,4,3,4,4,3,0,0,1,0,0,0,3,3,0,2,1,6,1,3,0,0,6,2,0,0,1,0,1,0,2003,2003,2003,13910.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0.0,7.444833273892193,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.189654742026425,9.042040056544483,5.2832037287379885,6.561030665896573,0,1,3,8,1,5.017279836814924,6.75343791859778,6.75343791859778,6.75110146893676,548,2,4.127134385045092,0.0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,CBlock,4,3,3,4,3,3,0,1,0,0,0,0,3,3,0,2,1,5,4,3,0,3,6,2,0,0,1,0,1,0,1976,1976,1976,13634.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0.0,7.141245122350491,0.6931471805599453,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.394449154672439,9.169622538697624,0.0,6.88653164253051,1,0,3,6,1,5.652489180268651,7.141245122350491,7.141245122350491,0.0,460,2,0.0,5.700443573390687
2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,PConc,4,4,3,4,4,3,0,0,1,0,0,0,3,3,0,2,1,6,2,3,0,3,6,2,0,0,1,0,1,0,2001,2002,2001,14123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0.0,7.488293515159428,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.23410650459726,9.328212292571072,5.093750200806762,6.18826412308259,1,1,3,6,1,6.075346031088684,6.825460036255307,6.825460036255307,6.7650389767805414,608,2,3.7612001156935624,0.0
3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,BrkTil,3,3,3,3,3,3,1,0,0,0,0,0,3,3,0,2,1,5,1,4,0,4,4,1,0,0,1,0,1,0,1915,1970,1998,13180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0.0,7.4489161025442,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4.110873864173311,9.164401140034737,0.0,5.37989735354046,1,0,3,7,1,6.293419278846481,6.6293632534374485,6.8690144506657065,6.6293632534374485,642,3,3.58351893845611,0.0
4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,PConc,4,4,3,4,4,3,0,0,1,0,0,0,3,3,0,2,1,6,3,3,0,3,6,2,0,0,1,0,1,0,2000,2000,2000,14214.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0.0,7.695757990554761,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.442651256490317,9.565283817736766,5.860786223465865,6.486160788944089,1,1,4,9,1,6.19644412779452,7.044032897274685,7.044032897274685,6.960347729101308,836,3,4.442651256490317,5.262690188904886
5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,Wood,4,3,3,4,3,3,0,0,0,0,0,1,3,3,0,2,1,6,1,3,0,0,6,1,0,0,1,0,1,0,1993,1995,1993,14518.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0.0,7.217443431696533,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.454347296253507,9.55506418479516,0.0,6.597145701886651,0,1,1,5,1,4.174387269895637,6.680854678790215,6.680854678790215,6.340359303727752,480,2,3.4339872044851463,3.713572066704308
6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,PConc,5,4,3,5,4,3,0,0,1,0,0,0,3,3,0,2,1,6,3,3,0,4,6,2,0,0,1,0,1,0,2004,2005,2004,13726.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0.0,7.43543801981455,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4.330733340286331,9.218804450388312,5.231108616854587,7.222566018822171,1,0,3,7,1,5.762051382780177,7.430707082545968,7.43543801981455,0.0,636,2,4.060443010546419,5.545177444479562
7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,CBlock,4,3,3,4,3,3,0,1,0,0,0,0,3,3,0,2,4,5,2,3,0,3,6,2,0,0,1,0,1,0,1973,1973,1973,14549.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0.0,7.645397699428633,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4.248495242049359,9.247925132303454,5.484796933490655,6.756932389247553,2,1,3,7,1,5.37989735354046,7.010311867307229,7.010311867307229,6.891625897052253,484,2,5.3230099791384085,5.4638318050256105
8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,BrkTil,3,3,3,3,3,3,1,0,0,0,0,0,2,3,0,2,1,1,1,3,1,3,4,1,0,0,0,1,1,0,1931,1950,1931,13970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0.0,7.4815557019095165,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.9512437185814275,8.71948076085107,0.0,0.0,2,0,2,8,2,6.859614903654202,6.859614903654202,6.930494765951626,6.6240652277998935,468,2,0.0,4.51085950651685
9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,BrkTil,3,3,3,3,3,3,1,0,0,0,0,0,4,3,0,2,1,6,1,3,0,3,6,2,0,0,1,0,1,0,1939,1950,1939,13879.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0.0,6.982862751468942,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.9318256327243257,8.912069097970134,0.0,6.747586526829315,2,0,2,5,2,4.948759890378168,6.899723107284872,6.982862751468942,0.0,205,1,1.6094379124341003,0.0
